PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Landauer, TK; Dumais, ST								A solution to Plato's problem: The latent semantic analysis theory of acquisition, induction, and representation of knowledge								PSYCHOLOGICAL REVIEW				104	2			211	240		10.1037/0033-295X.104.2.211				APR 1997	1997																		0033-295X			WOS:A1997WU96300001		
J	Langacker, RW								Constituency, dependency, and conceptual grouping + Cognitive grammar								COGNITIVE LINGUISTICS				8	1			1	32		10.1515/cogl.1997.8.1.1				1997	1997																		0936-5907			WOS:A1997XB99200001		
J	LANGACKER, RW								AN INTRODUCTION TO COGNITIVE GRAMMAR								COGNITIVE SCIENCE				10	1			1	40						JAN-MAR 1986	1986																		0364-0213			WOS:A1986A656900001		
J	LASSALINE, ME; LOGAN, GD				Lassaline, Mary/AAA-4248-2020	Lassaline, Mary/0000-0003-4925-4522			MEMORY-BASED AUTOMATICITY IN THE DISCRIMINATION OF VISUAL NUMEROSITY								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				19	3			561	581		10.1037/0278-7393.19.3.561				MAY 1993	1993																		0278-7393			WOS:A1993LA75600005	8501431	
J	LEVINE, DN; WARACH, J; FARAH, M								2 VISUAL SYSTEMS IN MENTAL-IMAGERY - DISSOCIATION OF WHAT AND WHERE IN IMAGERY DISORDERS DUE TO BILATERAL POSTERIOR CEREBRAL-LESIONS								NEUROLOGY				35	7			1010	1018		10.1212/WNL.35.7.1010				1985	1985																		0028-3878	1526-632X		WOS:A1985ALE6000012	4010939	
J	LIBET, B								UNCONSCIOUS CEREBRAL INITIATIVE AND THE ROLE OF CONSCIOUS WILL IN VOLUNTARY ACTION								BEHAVIORAL AND BRAIN SCIENCES				8	4			529	539		10.1017/S0140525X00044903				DEC 1985	1985																		0140-525X			WOS:A1985A173200001		
J	LOGAN, GD								LINGUISTIC AND CONCEPTUAL CONTROL OF VISUAL-SPATIAL ATTENTION								COGNITIVE PSYCHOLOGY				28	2			103	174		10.1006/cogp.1995.1004				APR 1995	1995																		0010-0285			WOS:A1995QT37400001	7736720	
J	Logan, GD; Taylor, SE; Etherton, JL								Attention in the acquisition and expression of automaticity								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				22	3			620	638		10.1037/0278-7393.22.3.620				MAY 1996	1996																		0278-7393			WOS:A1996UL43500004		
J	LOGAN, GD; ETHERTON, JL								WHAT IS LEARNED DURING AUTOMATIZATION - THE ROLE OF ATTENTION IN CONSTRUCTING AN INSTANCE								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				20	5			1022	1050		10.1037/0278-7393.20.5.1022				SEP 1994	1994																		0278-7393			WOS:A1994PE07100002		
J	LOGAN, GD								TOWARD AN INSTANCE THEORY OF AUTOMATIZATION								PSYCHOLOGICAL REVIEW				95	4			492	527		10.1037/0033-295X.95.4.492				OCT 1988	1988																		0033-295X			WOS:A1988Q589100006		
