Source,Target,Type,Appearance
"Jovanovic, T.","Müller, M.",Directed,1
"Jovanovic, T.","Tüscher, O.",Directed,1
"Handler, T.","Kalisch, R.",Directed,1
"Handler, T.","Müller, M.",Directed,1
"Handler, T.","Tüscher, O.",Directed,1
"Silbersweig, D.","Kalisch, R.",Directed,1
"Silbersweig, D.","Müller, M.",Directed,1
"Silbersweig, D.","Tüscher, O.",Directed,1
"Soenke, M.","Kalisch, R.",Directed,1
"Soenke, M.","Müller, M.",Directed,1
"Soenke, M.","Tüscher, O.",Directed,1
"O'Connor, M.","Kalisch, R.",Directed,1
"O'Connor, M.","Müller, M.",Directed,1
"O'Connor, M.","Tüscher, O.",Directed,1
"Greenberg, J.","Kalisch, R.",Directed,1
"Greenberg, J.","Müller, M.",Directed,1
"Greenberg, J.","Tüscher, O.",Directed,1
"Southwick, S.","Kalisch, R.",Directed,1
"Southwick, S.","Müller, M.",Directed,1
"Southwick, S.","Tüscher, O.",Directed,1
"Pietrzak, R.","Kalisch, R.",Directed,1
"Pietrzak, R.","Müller, M.",Directed,1
"Pietrzak, R.","Tüscher, O.",Directed,1
"Charney, D.","Kalisch, R.",Directed,1
"Charney, D.","Müller, M.",Directed,1
"Charney, D.","Tüscher, O.",Directed,1
"Krystal, J.","Kalisch, R.",Directed,1
"Krystal, J.","Müller, M.",Directed,1
"Krystal, J.","Tüscher, O.",Directed,1
"Troy, A.","Kalisch, R.",Directed,1
"Troy, A.","Müller, M.",Directed,1
"Troy, A.","Tüscher, O.",Directed,1
"Ungar, M.","Kalisch, R.",Directed,1
"Ungar, M.","Müller, M.",Directed,1
"Ungar, M.","Tüscher, O.",Directed,1
"Vázquez, C.","Kalisch, R.",Directed,1
"Vázquez, C.","Müller, M.",Directed,1
"Vázquez, C.","Tüscher, O.",Directed,1
"Walter, H.","Kalisch, R.",Directed,1
"Walter, H.","Müller, M.",Directed,1
"Walter, H.","Tüscher, O.",Directed,1
"Erk, S.","Kalisch, R.",Directed,1
"Erk, S.","Müller, M.",Directed,1
"Erk, S.","Tüscher, O.",Directed,1
"Veer, I.","Kalisch, R.",Directed,1
"Veer, I.","Müller, M.",Directed,1
"Veer, I.","Tüscher, O.",Directed,1
"Washington, N.","Kalisch, R.",Directed,1
"Washington, N.","Müller, M.",Directed,1
"Washington, N.","Tüscher, O.",Directed,1
"Ainslie, G.","Duarte, J.",Directed,1
"Ainslie, G.","Crawford, J.",Directed,1
"Ainslie, G.","Stern, C.",Directed,1
"Ainslie, G.","Haidt, J.",Directed,1
"Ainslie, G.","Jussim, L.",Directed,1
"Ainslie, G.","Tetlock, P.",Directed,1
"Baumeister, R.","Duarte, J.",Directed,1
"Baumeister, R.","Crawford, J.",Directed,1
"Baumeister, R.","Stern, C.",Directed,1
"Baumeister, R.","Haidt, J.",Directed,1
"Baumeister, R.","Jussim, L.",Directed,1
"Baumeister, R.","Tetlock, P.",Directed,1
"Beit-Hallahmi, B.","Duarte, J.",Directed,1
"Beit-Hallahmi, B.","Crawford, J.",Directed,1
"Beit-Hallahmi, B.","Stern, C.",Directed,1
"Beit-Hallahmi, B.","Haidt, J.",Directed,1
"Beit-Hallahmi, B.","Jussim, L.",Directed,1
"Beit-Hallahmi, B.","Tetlock, P.",Directed,1
"Bilewicz, M.","Duarte, J.",Directed,1
"Bilewicz, M.","Crawford, J.",Directed,1
"Bilewicz, M.","Stern, C.",Directed,1
"Bilewicz, M.","Haidt, J.",Directed,1
"Bilewicz, M.","Jussim, L.",Directed,1
"Bilewicz, M.","Tetlock, P.",Directed,1
"Cichocka, A.","Duarte, J.",Directed,1
"Cichocka, A.","Crawford, J.",Directed,1
"Cichocka, A.","Stern, C.",Directed,1
"Cichocka, A.","Haidt, J.",Directed,1
"Cichocka, A.","Jussim, L.",Directed,1
"Cichocka, A.","Tetlock, P.",Directed,1
"Górska, P.","Duarte, J.",Directed,1
"Górska, P.","Crawford, J.",Directed,1
"Górska, P.","Stern, C.",Directed,1
"Górska, P.","Haidt, J.",Directed,1
"Górska, P.","Jussim, L.",Directed,1
"Górska, P.","Tetlock, P.",Directed,1
"Szabó, Z.","Duarte, J.",Directed,1
"Szabó, Z.","Crawford, J.",Directed,1
"Szabó, Z.","Stern, C.",Directed,1
"Szabó, Z.","Haidt, J.",Directed,1
"Szabó, Z.","Jussim, L.",Directed,1
"Szabó, Z.","Tetlock, P.",Directed,1
"Binning, K.","Duarte, J.",Directed,1
"Binning, K.","Crawford, J.",Directed,1
"Binning, K.","Stern, C.",Directed,1
"Binning, K.","Haidt, J.",Directed,1
"Binning, K.","Jussim, L.",Directed,1
"Binning, K.","Tetlock, P.",Directed,1
"Sears, D.","Duarte, J.",Directed,1
